2026-03-08 17:59:18,030 | INFO | ThreatIntelPipeline | Test Runner | Starting Threat Intelligence Pipeline
2026-03-08 19:14:05,974 | INFO | ThreatIntelPipeline | Threat Pipeline | Completed successfully
2026-03-08 19:14:05,975 | INFO | ThreatIntelPipeline | Test Runner | Pipeline execution finished
2026-03-08 19:31:41,514 | INFO | ThreatIntelPipeline | Test Runner | Starting Threat Intelligence Pipeline
2026-03-08 19:31:41,514 | INFO | ThreatIntelPipeline | Threat Pipeline | Starting threat intelligence collection
2026-03-08 19:31:41,516 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Starting collection
2026-03-08 19:31:41,518 | INFO | ThreatIntelPipeline | URLHaus Collector | Starting collection
2026-03-08 19:31:41,519 | INFO | ThreatIntelPipeline | ThreatFox Collector | Starting collection
2026-03-08 19:31:44,090 | INFO | ThreatIntelPipeline | URLHaus Collector | Indicators collected: 100
2026-03-08 19:31:44,763 | WARNING | ThreatIntelPipeline | ThreatFox Collector | No IOC data returned
2026-03-08 19:31:45,132 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Indicators collected: 100
2026-03-08 19:31:45,144 | INFO | ThreatIntelPipeline | Threat Pipeline | Total raw indicators collected: 200
2026-03-08 19:31:45,157 | INFO | ThreatIntelPipeline | Threat Pipeline | Raw threat feed saved
2026-03-08 19:31:45,157 | INFO | ThreatIntelPipeline | Normalizer | Starting normalization
2026-03-08 19:33:17,321 | INFO | ThreatIntelPipeline | Normalizer | Indicators normalized: 182
2026-03-08 19:33:17,321 | INFO | ThreatIntelPipeline | Threat Pipeline | Completed successfully
2026-03-08 19:33:17,321 | INFO | ThreatIntelPipeline | Test Runner | Pipeline execution finished
